title,score,genres,consensus
Mad Max Fury Road: Black & Chrome Edition,97,,"With exhilarating action and a surprising amount of narrative heft,  Mad Max: Fury Road  brings George Miller's post-apocalyptic franchise roaring vigorously back to life."
Court,100,,"Court  takes a penetrating, timely look at issues facing Indian society while serving as an excellent calling card for debuting writer-director Chaitanya Tamhane."
About Elly,99,,"About Elly  offers viewers performances as powerful as its thought-provoking ideas, and adds another strong entry to Asghar Farhadi's impressive filmography."
"3 And 1/2 Minutes, 10 Bullets",100,,No consensus yet.
Listen To Me Marlon,97,,"Listen to Me Marlon  offers a fascinating look at the inner life of a Hollywood icon, told in his own words."
'71,96,,"Powerfully directed and acted,  '71  stays true to its fact-based origins while remaining as gripping as any solidly crafted action thriller."
The Look of Silence,96,,The Look of Silence  delivers a less shocking -- yet just as terribly compelling -- companion piece to Joshua Oppenheimer's  The Act of Killing .
Red Army,97,,"Fun and fascinating,  Red Army  delivers absorbing documentary drama for hockey fans and sports novices alike."
Bridge of Spies,91,,"Bridge of Spies  finds new life in Hollywood's classic Cold War espionage thriller formula, thanks to reliably outstanding work from Steven Spielberg and Tom Hanks."
Kurt Cobain: Montage Of Heck,98,,Kurt Cobain: Montage of Heck  makes a persuasive case for its subject without resorting to hagiography -- and includes plenty of rare and unreleased footage for fans.
Ingrid Bergman in Her Own Words (Jag är Ingrid),100,,Ingrid Bergman in Her Own Words  distills its subject's legendary charm while offering viewers a new personal perspective on the life of one of Hollywood's more celebrated stars.
What We Do In The Shadows,96,,"Smarter, fresher, and funnier than a modern vampire movie has any right to be,  What We Do in the Shadows  is bloody good fun."
Seymour: An Introduction,100,,Seymour Bernstein's genuineness shines so brightly in  Seymour: An Introduction  that viewers will forgive debuting director Ethan Hawke's reverent treatment.
Iris,98,,"A small, insightful feature with a deceptively thoughtful thesis,  Iris  adds a bittersweet postscript to director Albert Maysles' filmography."
Tangerine,97,,"Tangerine  shatters casting conventions and its filmmaking techniques are up-to-the-minute, but it's an old-fashioned comedy at heart -- and a pretty wonderful one at that."
Coming Home,90,,"The rare tearjerking melodrama with sociopolitical subtext,  Coming Home  plucks the heartstrings with thought-provoking power."
Bone Tomahawk,90,,"Bone Tomahawk 's peculiar genre blend won't be for everyone, but its gripping performances and a slow-burning story should satisfy those in search of something different."
Sunshine Superman,91,,"Sunshine Superman  shines a light on a fascinating life with copious amounts of incredible, thrilling footage."
Anomalisa,93,,"Anomalisa  marks another brilliant and utterly distinctive highlight in Charlie Kaufman's filmography, and a thought-provoking treat for fans of introspective cinema."
White God,89,,"White God  isn't an easy watch, but its soaring ambition and powerful acting -- human and canine alike -- make it well worth the effort."
Mississippi Grind,89,,"Well-acted and steeped in Southern atmosphere,  Mississippi Grind  is a road movie and addiction drama that transcends each of its well-worn genres."
The Peanuts Movie,86,,The Peanuts Movie  offers a colorful gateway into the world of its classic characters and a sweetly nostalgic -- if relatively unambitious -- treat for the adults who grew up with them.
Mommy,89,,"As challenging as it is rewarding,  Mommy  finds writer-director Xavier Dolan taking another impressive step forward."
The Revenant,81,,"As starkly beautiful as it is harshly uncompromising,  The Revenant  uses Leonardo DiCaprio's committed performance as fuel for an absorbing drama that offers punishing challenges -- and rich rewards."
James White,91,,"Led by powerfully complementary performances from Christopher Abbott and Cynthia Nixon,  James White  offers an affecting calling card for debuting writer-director Josh Mond."
Mr. Holmes,88,,"Mr. Holmes  focuses on the man behind the mysteries, and while it may lack Baker Street thrills, it more than compensates with tenderly wrought, well-acted drama."
The Tribe,89,,"A bleak, haunting drama whose wordless dialogue speaks volumes,  The Tribe  is a bold, innovative take on silent films for a contemporary audience."
Still Alice,87,,"Elevated by a gripping performance from Julianne Moore,  Still Alice  is a heartfelt drama that honors its delicate themes with bravery and sensitivity."
Peggy Guggenheim: Art Addict,93,,Peggy Guggenheim: Art Addict  honors its subject with an appropriately absorbing overview of her fascinating life and enduring legacy.
The Pearl Button (El botón de nácar),93,,"Deliberately paced yet hypnotically absorbing,  The Pearl Button  offers a poetic look at the wonders of the natural world -- and humanity's place among them."
Queen of Earth,92,,"Led by a searing performance from Elisabeth Moss,  Queen of Earth  is a demanding -- and ultimately rewarding -- addition to writer-director Alex Ross Perry's impressive filmography."
Breathe,93,,"Breathe  finds writer-director Mélanie Laurent opening a sensitive, well-acted window into the bittersweet upheaval of adolescence."
The Walk,84,,"The Walk  attempts a tricky balancing act between thrilling visuals and fact-based drama -- and like its wire-walking protagonist, pulls it off with impressive élan."
Dope,89,,"Featuring a starmaking performance from Shameik Moore and a refreshingly original point of view from writer-director Rick Famuyiwa,  Dope  is smart, insightful entertainment."
Trainwreck,85,,"Trainwreck  drags commitment out of all but the most rom-com-phobic filmgoers with sharp humor, relatable characters, and hilarious work from Amy Schumer."
Clouds of Sils Maria,89,,"Bolstered by a trio of powerful performances from its talented leads,  Clouds of Sils Maria  is an absorbing, richly detailed drama with impressive depth and intelligence."
The Black Panthers: Vanguard Of The Revolution,93,,"The Black Panthers: Vanguard Of The Revolution  offers a fascinating -- if somewhat rudimentary -- introduction to a movement, and an era, that remains soberingly relevant today."
When Marnie Was There,92,,"When Marnie Was There  is still blessed with enough visual and narrative beauty to recommend, even if it isn't quite as magical as Studio Ghibli's greatest works."
Güeros,94,,"A striking effort that synthesizes disparate influences with inventive flair,  Güeros  marks a bold step forward for modern Mexican cinema."
Janis: Little Girl Blue,93,,"Respectful without veering into hagiography and inquisitive without being intrusive,  Janis: Little Girl Blue  offers an insightful glimpse into the life of a rock 'n' roll legend."
Straight Outta Compton,87,,"Straight Outta Compton  is a biopic that's built to last, thanks to F. Gary Gray's confident direction and engaging performances from a solid cast."
Black Souls,94,,Black Souls  works within familiar themes to explore intelligent -- and thrillingly entertaining -- dramatic arcs that plunge into the deliciously dark depths of Mafia crime.
Boy and the World (O Menino e o Mundo),94,,"Boy and the World 's distinctive animation is visually thrilling -- and it's backed up with a daring, refreshingly different storyline that should enthrall younger viewers while resonating deeply with adults."
Beasts of No Nation,91,,"Beasts of No Nation  finds writer-director Cary Fukunaga working with a talented cast to offer a sobering, uncompromising, yet still somehow hopeful picture of war's human cost."
The Hunting Ground,93,,"The Hunting Ground  isn't director Kirby Dick's strongest work as a filmmaker, but the movie's powerful message more than trumps any technical weaknesses."
Disneynature Monkey Kingdom,94,,Monkey Kingdom 's breathtaking footage of primates in the wild is likely to please animal lovers of all ages.
The Lady In The Van,90,,"Led by a marvelous performance from Maggie Smith,  Lady in the Van  wrings poignant, often hilarious insight from its fact-based source material."
I'll See You in My Dreams,93,,"I'll See You in My Dreams  would be worth watching even if Blythe Danner's central performance was all it had going for it, but this thoughtful drama satisfies on multiple levels."
The Duke Of Burgundy,93,,"Stylish, sensual, and smart,  The Duke of Burgundy  proves that erotic cinema can have genuine substance."
We Are Still Here,95,,"Smart, powerfully acted, and devilishly clever,  We Are Still Here  offers some novel twists on familiar territory -- and heralds the arrival of a major talent in writer-director Ted Geoghegan."
The End Of The Tour,91,,"Brilliantly performed and smartly unconventional,  The End of the Tour  pays fitting tribute to a singular talent while offering profoundly poignant observations on the human condition."
In Jackson Heights,95,,In Jackson Heights  adds another compassionately observant -- and wholly immersive -- chapter to Frederick Wiseman's singular filmography.
Steve Jobs,86,,"Like the tech giant co-founded by its subject,  Steve Jobs  gathers brilliant people to deliver a product whose elegance belies the intricate complexities at its core."
A Most Violent Year,89,,"Gritty, gripping, and weighted with thought-provoking heft,  A Most Violent Year  represents another strong entry in writer-director J.C. Chandor's impressive filmography."
Slow West,93,,Slow West  serves as an impressive calling card for first-time writer-director John M. Maclean -- and offers an inventive treat for fans of the Western.
The Forbidden Room,95,,"The Forbidden Room  may frustrate viewers looking for a linear experience, but those seeking a challenge -- or already familiar with director Guy Maddin's work -- will be rewarded."
The Wrecking Crew,94,,"The Wrecking Crew  may not achieve the greatness of the many classic songs its subjects helped bring to life, but it remains a heartfelt, overdue tribute to overshadowed brilliance."
The Wonders,95,,The Wonders  offers a charming coming-of-age tale that doubles as a quietly effective tribute to a vanishing way of life.
Going Clear: Scientology and the Prison of Belief,94,,"Thoroughly disquieting but impossible to ignore,  Going Clear: Scientology and the Prison of Belief  is a searing investigative work from a master documentarian."
99 Homes,92,,"Fueled by powerful acting and a taut, patiently constructed narrative,  99 Homes  is a modern economic parable whose righteous fury is matched by its intelligence and compassion."
Appropriate Behavior,96,,"Warm, funny, and quietly profound,  Appropriate Behavior  serves as a thoroughly compelling calling card for writer, director, and star Desiree Akhavan."
Grandma,92,,"Boasting a stellar performance from Lily Tomlin and some powerfully empathetic work from writer-director Paul Weitz,  Grandma  is a dramedy that shouldn't have to ask you to visit."
Best Of Enemies,94,,"Smart, fascinating, and funny,  Best of Enemies  takes a penetrating -- and wildly entertaining -- look back at the dawn of pundit politics."
The Second Mother (Que Horas Ela Volta?),96,,"The Second Mother 's compelling characters serve an artfully drawn, thought-provoking story that's beautifully brought to life by a talented cast."
Girlhood,96,,"Powerfully acted and smartly scripted,  Girlhood  offers a fresh perspective on familiar cinematic territory."
The Diary Of A Teenage Girl,93,,"Boldly unconventional and refreshingly honest,  Diary of a Teenage Girl  is a frank coming-of-age story that addresses its themes -- and its protagonist -- without judgment."
The Salt of the Earth,95,,"While the work it honors may pose thorny ethical questions that  Salt of the Earth  neglects to answer, it remains a shattering, thought-provoking testament to Sebastião Salgado's career."
Love & Mercy,91,,"As unconventional and unwieldy as the life and legacy it honors,  Love & Mercy  should prove moving for Brian Wilson fans while still satisfying neophytes."
The Gift,92,,"The Gift  is wickedly smart and playfully subversive, challenging the audience's expectations while leaving them leaning on the edges of their seats."
The Big Short,88,,"The Big Short  approaches a serious, complicated subject with an impressive attention to detail -- and manages to deliver a well-acted, scathingly funny indictment of its real-life villains in the bargain."
Welcome To Leith,98,,"As disturbing as it is thought-provoking,  Welcome to Leith  offers an uncomfortable -- and essential -- glimpse into a part of society many Americans would much rather ignore."
Finders Keepers,98,,"As bizarrely hilarious as it is insightful, Finders Keepers is a stranger-than-fiction gem of a documentary that transcends its oddball trappings."
